0,0,0,0,57.26,40.72,25.54,0.54,1014.98,1.44,12.25,10,0,No
0,0,0,0,60.13,28.51,32.69,0.55,1014.44,1.87,11.85,10,0,No
0.0001,0.0005,0.05,2,31.08,15.52,14.01,0.59,1021.85,2.77,12.85,6.7,0,Yes
0.0009,0.0048,0.29,2,29.84,8.31,9.88,0.6,1026.56,1.99,10.28,10,1,Yes
0.0031,0.0186,0.71,2,39.83,18.87,11.86,0.63,1026.24,0.43,7.59,10,1,No
0.0004,0.0032,0.41,1,55.89,27.96,17.6,0.57,1022.84,0.09,4.82,10,0,No
0,0,0,0,82.52,66.48,65.01,0.81,1017.79,1.84,12.69,7.58,0,No
0.098,0.4319,0.92,1,70.88,52.72,65.77,0.91,1011,1.82,13.3,7.6,0,No
0.0002,0.0006,0.13,1,67.09,54.21,53.33,0.81,1012.62,0.94,9.38,9.84,0,No
0.0145,0.096,0.88,1,48,43.23,39.07,0.88,1021.04,1.39,8.87,7.51,0,No
0.0599,0.2316,0.89,1,43.4,28.78,38.91,0.96,1006.88,2.86,16.72,5.97,0,No
0.0002,0.0014,0.2,2,34.88,23.44,23.46,0.75,1012.87,6.32,21.65,8.76,0,No
0.0524,0.3241,0.82,1,68.99,65.83,61.3,0.9,1010.21,2.15,19.33,4.06,0,No
0.0264,0.3745,0.87,1,73.38,41.96,62.75,0.9,1009.68,2.71,15.77,4.92,0,No
0.0001,0.0008,0.14,1,58.02,36.09,37.36,0.67,1016.55,3.07,12.08,5.25,0,No
0,0,0,0,68.87,56.64,50.22,0.6,1021.86,5.76,21.54,4.59,0,No
0.1344,0.3578,1,1,60.48,58.94,56.38,0.89,1008.71,8.26,28.71,2.73,0,Yes
0.0135,0.0937,0.98,1,64.6,59.1,60.22,0.95,1005.68,4.32,16.51,2.9,1,Yes
0,0.0007,0,1,77.16,64.76,59.94,0.8,1012.36,1.61,12.3,4.04,1,Yes
0,0.0006,0,0,79.3,61.72,64.56,0.82,1014.68,0.77,5.42,4.37,1,No
0,0,0,0,51.36,18.39,27.62,0.69,1029.43,1.77,10.24,4.37,0,No
0.0002,0.0012,0.1,2,26.6,15.87,13.72,0.68,1029.85,6.34,16.88,3.75,0,Yes
0.0009,0.0073,0.44,2,42.56,25.35,11.65,0.53,1030.29,3.68,9.02,4.42,1,Yes
0,0.0008,0,0,53.89,28.25,13.72,0.43,1026.22,2.47,9.19,4.78,1,No
0.0006,0.0095,0.46,1,76.79,56.72,50.14,0.62,1011.83,2.4,9.06,4.46,0,No
0.005,0.0346,0.91,1,63.59,55.5,57.95,0.92,1006.97,2.05,15.82,3.47,0,No
0.0317,0.4043,0.9,1,70.38,37.63,52.53,0.79,1001.69,4.53,18.84,3.44,0,No
0.0047,0.0489,0.61,1,80.84,71.52,69.4,0.85,1017.59,6.14,16.42,4.09,0,No
0.0708,0.4581,1,1,81.39,71.18,72.38,0.93,1008.89,5.7,20.97,2.98,0,No
0.0487,0.3191,1,1,80.48,52.44,64.74,0.76,1005.56,8.19,22.17,4.09,0,No
0.0006,0.0082,0.07,1,74.14,54.38,46.34,0.59,1012.76,5.34,12.43,6.38,0,No
0.0311,0.1388,1,1,45.02,32.78,38.02,0.91,1019.34,2.37,16.03,3.99,0,No
0.0008,0.0087,0.09,1,82.73,65.24,66.44,0.81,1019.86,1.97,9.23,3.53,0,No
0,0,0,0,64.02,37.15,39.39,0.76,1023.41,1.32,7.4,4.21,0,No
0,0,0,0,40.03,11.92,19.25,0.56,1027.38,4.21,18.81,10,0,No
0,0,0,2,32.83,18.1,2.81,0.45,1034.54,0.64,12.94,10,0,No
0,0,0,0,40.5,22.37,13.06,0.53,1028.14,1.96,10.54,10,0,No
0.0009,0.0053,0.45,1,48.72,38.9,33.51,0.67,1021.13,1.67,5.01,4.44,0,No
0.0235,0.0741,0.91,1,39,33.2,35.92,0.93,1016.37,2.11,6.34,3.54,0,No
0.0066,0.026,0.62,2,41.07,27.08,30.45,0.83,1015.81,3.41,13.62,3.3,0,No
0.0005,0.0042,0.32,1,45.6,40.34,34.52,0.75,1029.55,1.04,6.67,4.51,0,No
0,0,0,0,50.22,35.89,22.28,0.58,1028.88,0.46,8.68,4.46,0,No
0,0,0,0,44.55,27.28,23.89,0.62,1024.92,5.08,17.02,5.48,0,No
0,0,0,0,49.91,30.3,29.4,0.58,1019.83,5.36,16.48,4.51,0,No
0,0,0,0,66.65,39.04,38.11,0.58,1013.85,3.7,13.43,4.44,0,No
0.0007,0.0081,0.22,1,70.12,51.18,46.24,0.63,1018.45,2.6,10.32,4.54,0,No
0,0,0,0,61.71,51.38,33.81,0.65,1020.32,1.44,8.76,4.63,0,No
0,0,0,0,45.77,29.09,17.56,0.5,1019.83,5.29,15.67,4.54,0,No
0,0,0,0,44.19,27.8,21.29,0.56,1015.46,7.62,20.56,4.54,0,No
